CustomerID,Lookalikes
C0001,"[('C0181', np.float64(0.9806488873652772)), ('C0120', np.float64(0.9639929961677738)), ('C0184', np.float64(0.951128557949109))]"
C0002,"[('C0088', np.float64(0.9917448788793644)), ('C0106', np.float64(0.9435500669943938)), ('C0134', np.float64(0.8972297750870268))]"
C0003,"[('C0031', np.float64(0.9481581317300558)), ('C0052', np.float64(0.9424308468658363)), ('C0195', np.float64(0.9385586939172244))]"
C0004,"[('C0165', np.float64(0.9663279632163543)), ('C0169', np.float64(0.9423054117076171)), ('C0087', np.float64(0.9357901310226248))]"
C0005,"[('C0140', np.float64(0.9934347203051204)), ('C0186', np.float64(0.9885326808232723)), ('C0146', np.float64(0.9602262895903313))]"
C0006,"[('C0126', np.float64(0.9663607918985827)), ('C0118', np.float64(0.9611375787015415)), ('C0011', np.float64(0.9561574144199084))]"
C0007,"[('C0146', np.float64(0.9977204703790621)), ('C0115', np.float64(0.9784107546487352)), ('C0186', np.float64(0.9700354008805875))]"
C0008,"[('C0160', np.float64(0.9245368050228561)), ('C0038', np.float64(0.8885945165113721)), ('C0065', np.float64(0.8636305597866966))]"
C0009,"[('C0061', np.float64(0.9757255662446506)), ('C0198', np.float64(0.9706653104227783)), ('C0103', np.float64(0.9518589298266011))]"
C0010,"[('C0111', np.float64(0.9766304758943329)), ('C0062', np.float64(0.9449016911839866)), ('C0198', np.float64(0.8378041413592054))]"
C0011,"[('C0137', np.float64(0.9803571083954823)), ('C0126', np.float64(0.9755005522547335)), ('C0191', np.float64(0.9644341849113962))]"
C0012,"[('C0163', np.float64(0.9904753148464667)), ('C0113', np.float64(0.9617915658771381)), ('C0195', np.float64(0.9549305649461609))]"
C0013,"[('C0099', np.float64(0.9869485158624592)), ('C0108', np.float64(0.9358873670981718)), ('C0107', np.float64(0.8567546599472101))]"
C0014,"[('C0060', np.float64(0.9523133489467103)), ('C0172', np.float64(0.9106603226475576)), ('C0166', np.float64(0.8440199972225242))]"
C0015,"[('C0131', np.float64(0.9697437627587572)), ('C0125', np.float64(0.8904267881077689)), ('C0185', np.float64(0.8762618744622592))]"
C0016,"[('C0042', np.float64(0.957951595679765)), ('C0183', np.float64(0.9134239832455483)), ('C0067', np.float64(0.8707508703164938))]"
C0017,"[('C0041', np.float64(0.9578307735723698)), ('C0075', np.float64(0.9562702173409895)), ('C0057', np.float64(0.9360788671681463))]"
C0018,"[('C0122', np.float64(0.970896777482166)), ('C0046', np.float64(0.9680403014655317)), ('C0194', np.float64(0.9439790789940022))]"
C0019,"[('C0073', np.float64(0.9954690641024494)), ('C0132', np.float64(0.9710902533999232)), ('C0070', np.float64(0.9399634427640703))]"
C0020,"[('C0035', np.float64(0.865428927413327)), ('C0050', np.float64(0.8530563956336638)), ('C0154', np.float64(0.8284130268162351))]"
